,depth,gr,d_res,s_res,den,vp
1839,315.3720000000002,52.8142,1.1346,1.0326,1.5419,1.6823
1840,315.5244000000002,58.2975,1.1346,1.0326,1.5419,1.6626
1841,315.6768000000002,61.5747,1.1346,1.0326,1.5359,1.676
1842,315.8292000000002,62.253,1.1346,1.0326,1.5102,1.6809
1843,315.9816000000002,59.9232,1.1346,1.0326,1.4673,1.6984
1844,316.1340000000002,56.6334,1.1346,1.0326,1.4252,1.6971
1845,316.2864000000002,55.244,1.1346,1.0326,1.392,1.6734
1846,316.4388000000002,56.7575,1.1346,1.0326,1.3554,1.6821
1847,316.5912000000002,61.224,1.1346,1.0326,1.395,1.6948
1848,316.7436000000002,63.472,1.1346,1.0326,1.4531,1.6906
1849,316.8960000000002,62.4391,1.1346,1.0326,1.5439,1.6753
1850,317.0484000000002,60.8131,1.1346,1.0326,1.5565,1.6779
1851,317.2008000000002,60.9195,1.1346,1.0326,1.5517,1.6714
1852,317.3532000000002,62.0903,1.1346,1.0326,1.5192,1.6837
1853,317.5056000000002,62.8114,1.1346,1.0326,1.4693,1.715
1854,317.6580000000002,60.6044,1.1346,1.0326,1.4264,1.7323
1855,317.8104000000002,59.3677,1.1346,1.0326,1.4127,1.7343
1856,317.9628000000002,62.9124,1.1346,1.0326,1.435,1.7311
1857,318.1152000000002,71.8564,1.1346,1.0326,1.4764,1.722
1858,318.2676000000002,78.6058,1.1346,1.0326,1.5276,1.7241
1859,318.4200000000002,80.2999,1.1346,1.0326,1.5862,1.7248
1860,318.5724000000002,79.1476,1.1346,1.0326,1.6165,1.7108
1861,318.7248000000002,77.1913,1.1346,1.0326,1.6251,1.7119
1862,318.8772000000002,75.3619,1.1346,1.0326,1.6402,1.7231
1863,319.0296000000002,72.6235,1.1346,1.0326,1.6675,1.7317
1864,319.1820000000002,71.8534,1.1346,1.0326,1.6617,1.6961
1865,319.3344000000002,70.6324,1.1346,1.0326,1.6818,1.6817
1866,319.4868000000002,68.2513,1.1346,1.0326,1.6836,1.683
1867,319.6392000000002,67.0434,1.1346,1.0326,1.6914,1.6807
1868,319.7916000000002,67.9668,1.1346,1.0326,1.6693,1.6824
1869,319.9440000000002,71.2043,1.1346,1.0326,1.6268,1.6765
1870,320.0964000000002,76.5014,1.1346,1.0326,1.5847,1.7066
1871,320.2488000000002,80.2115,1.1346,1.0326,1.5274,1.7212
1872,320.4012000000002,82.4216,1.1346,1.0326,1.4728,1.7285
1873,320.5536000000002,81.5919,1.1346,1.0326,1.438,1.7521
1874,320.7060000000002,80.3101,1.1346,1.0326,1.425,1.7702
1875,320.8584000000002,81.7,1.1346,1.0326,1.4308,1.7329
1876,321.0108000000002,82.5093,1.1346,1.0326,1.4446,1.733
1877,321.1632000000002,78.4837,1.1346,1.0326,1.4554,1.7429
1878,321.3156000000002,65.6731,1.1346,1.0326,1.4571,1.8157
1879,321.4680000000002,50.5114,1.1346,1.0326,1.4431,1.8523
1880,321.6204000000002,40.8997,1.1346,1.0326,1.4297,1.8574
1881,321.7728000000002,36.5378,1.1346,1.0326,1.4268,1.8223
1882,321.9252000000002,35.2705,1.1346,1.0326,1.4093,1.7829
1883,322.0776000000002,35.1465,1.1346,1.0326,1.3092,1.735
1884,322.2300000000002,34.2286,1.1346,1.0326,1.2309,1.7182
1885,322.3824000000002,32.9172,1.1346,1.0326,1.1694,1.7012
1886,322.5348000000002,31.3255,1.1346,1.0326,1.1589,1.6901
1887,322.6872000000002,31.6234,1.1346,1.0326,1.1708,1.7058
1888,322.8396000000002,33.7658,1.1346,1.0326,1.1865,1.6895
1889,322.9920000000002,36.5787,1.1346,1.0326,1.2009,1.8041
1890,323.1444000000002,37.902,1.1346,1.0326,1.2561,1.8644
1891,323.2968000000002,37.8122,1.1346,1.0326,1.3727,1.9024
1892,323.4492000000002,38.413,1.1346,1.0326,1.5556,1.9167
1893,323.6016000000002,43.593,1.1346,1.0326,1.7111,1.8798
1894,323.7540000000002,47.5719,1.1346,1.0326,1.7128,1.8677
1895,323.9064000000002,50.1493,1.1346,1.0326,1.6048,1.8861
1896,324.0588000000002,47.3009,1.1346,1.0326,1.5129,2.0857
1897,324.2112000000002,44.7955,1.1346,1.0326,1.443,2.1914
1898,324.3636000000002,45.3578,1.1346,1.0326,1.4266,2.1505
1899,324.5160000000002,47.4902,1.1346,1.0326,1.4083,2.1382
1900,324.6684000000002,51.0922,1.1346,1.0326,1.4598,1.8979
1901,324.8208000000002,50.5375,1.1346,1.0326,1.5412,1.8083
1902,324.9732000000002,52.7257,1.1346,1.0326,1.6727,1.7769
1903,325.1256000000002,52.0187,1.1346,1.0326,1.6712,1.7669
1904,325.2780000000002,56.6432,1.1346,1.0326,1.687,1.7789
1905,325.4304000000002,62.2687,1.1346,1.0326,1.7272,1.7824
1906,325.5828000000002,67.1595,1.1346,1.0326,1.7665,1.8428
1907,325.7352000000002,65.5565,1.1346,1.0326,1.7972,1.8628
1908,325.8876000000002,62.1857,1.1346,1.0326,1.8075,1.9095
1909,326.0400000000002,51.2761,1.1346,1.0326,1.8248,2.0574
1910,326.1924000000002,41.6966,1.1346,1.0326,1.8121,2.1641
1911,326.3448000000002,30.1357,1.1346,1.0326,1.6906,2.2646
1912,326.4972000000002,29.7072,1.1346,1.0326,1.5024,2.0992
1913,326.6496000000002,28.148,1.1302,1.0002,1.3618,2.0371
1914,326.8020000000002,28.0133,1.1211,0.918,1.2968,2.0104
1915,326.9544000000002,28.3899,1.1186,0.8719,1.2846,1.8866
1916,327.1068000000002,31.4953,1.1118,0.872,1.247,1.7449
1917,327.2592000000002,32.8673,1.1078,0.9177,1.2075,1.7389
1918,327.4116000000002,34.9285,1.103,0.9992,1.174,1.7355
1919,327.5640000000002,37.1533,1.0928,1.0937,1.1922,1.7445
1920,327.7164000000002,44.0549,1.135,1.1548,1.2104,1.7697
1921,327.8688000000002,44.5424,1.1388,1.139,1.2399,1.7934
1922,328.0212000000002,43.552,1.1268,1.074,1.2407,1.7936
1923,328.1736000000002,37.382,1.0872,1.0094,1.3053,1.8672
1924,328.3260000000002,38.9403,1.0899,0.9728,1.3736,1.8789
1925,328.4784000000002,38.6625,1.1385,0.9804,1.4561,1.8601
1926,328.6308000000002,40.05,1.2114,1.0441,1.4513,1.8682
1927,328.7832000000002,36.7255,1.221,1.1627,1.3888,1.878
1928,328.9356000000002,35.6868,1.2271,1.301,1.3571,2.0441
1929,329.0880000000002,34.8194,1.2224,1.3718,1.3986,2.1473
1930,329.2404000000002,32.978,1.2056,1.311,1.5051,1.9222
1931,329.3928000000002,31.4875,1.2106,1.185,1.605,2.0123
1932,329.5452000000002,30.1301,1.2142,1.0993,1.5795,1.992
1933,329.6976000000002,28.5644,1.2731,1.0996,1.5611,1.9824
1934,329.8500000000002,29.9905,1.3136,1.185,1.519,1.9807
1935,330.0024000000002,32.2565,1.3163,1.314,1.4867,1.8582
1936,330.1548000000002,36.6738,1.2829,1.3884,1.5474,1.8502
1937,330.3072000000002,39.8822,1.246,1.3339,1.6736,1.9066
1938,330.4596000000002,40.3806,1.2591,1.2096,1.8233,1.8568
