,depth,gr,d_res,s_res,den,vp
12,1.8333000000000002,37.6477,0.7991,0.7653,1.442,1.4687
13,1.9857,39.3062,0.8427,0.7803,1.4617,1.4687
14,2.1381,41.8645,0.8907,0.7679,1.4706,1.4687
15,2.2905,42.2856,0.9406,0.6914,1.4839,1.4619
16,2.4429000000000003,41.9863,0.789,0.7289,1.4843,1.4619
17,2.5953000000000004,40.9227,0.8312,0.7223,1.4782,1.4619
18,2.7477000000000005,41.5258,0.8336,0.7162,1.4637,1.4619
19,2.9001,42.0028,0.8359,0.718,1.4596,1.4641
20,3.0525,42.6023,0.8394,0.7197,1.4552,1.4641
21,3.2049000000000003,42.6122,0.8431,0.7214,1.4389,1.4641
22,3.3573000000000004,42.2862,0.8468,0.7297,1.4301,1.4552
23,3.5097000000000005,41.9601,0.8505,0.6656,1.4381,1.4552
24,3.6621000000000006,41.6341,0.8341,0.6431,1.4528,1.4552
25,3.8145000000000002,41.6341,0.8305,0.622,1.4645,1.4539
26,3.9669000000000003,41.8804,0.8269,0.6256,1.4657,1.4539
27,4.1193,42.1267,0.8315,0.6615,1.4799,1.4539
28,4.2717,42.3731,0.8601,0.7017,1.4706,1.4445
29,4.4241,44.7199,0.8907,0.7468,1.4781,1.4445
30,4.5765,47.0667,0.9235,0.7978,1.5021,1.4445
31,4.7289,49.4136,0.9589,0.8401,1.5131,1.4445
32,4.8813,49.4136,0.9796,0.8777,1.5246,1.4447
33,5.0337000000000005,49.4136,0.9809,0.9188,1.4584,1.4447
34,5.186100000000001,47.7577,0.9822,0.964,1.3784,1.4447
35,5.338500000000001,46.1019,0.9835,0.9543,1.3219,1.4437
36,5.490900000000001,44.446,0.9835,0.9348,1.3377,1.4437
37,5.643300000000001,44.446,0.9828,0.9161,1.3761,1.4437
38,5.7957,44.1128,0.9821,0.9027,1.446,1.4398
39,5.9481,43.7795,0.9812,0.9041,1.48,1.4398
40,6.1005,43.4462,0.9773,0.9055,1.4805,1.4398
41,6.2529,43.4462,0.9735,0.9069,1.4727,1.4445
42,6.4053,46.3624,0.9698,0.9084,1.4526,1.4445
43,6.5577000000000005,49.2785,0.9661,0.9099,1.4755,1.4445
